"time","S","E","I","R","Epoch"
2020-10-11,82586188.0067188,21083724.6315061,51307122.185532,37933348.796243,5
2020-10-12,78638664.5786327,20700643.4992221,53028642.5037599,40542433.0383853,5
2020-10-13,74859501.4677349,20237213.3873554,54580288.6802695,43233380.0846402,5
2020-10-14,71245454.3749853,19711461.3653255,55955941.4708066,45997526.4088825,5
2020-10-15,67789917.823103,19141061.7182628,57153402.3807731,48826001.6978611,5
2020-10-16,64483901.2340204,18542520.1251387,58174045.4634983,51709916.7973425,5
2020-10-17,61316969.1159174,17930544.2884142,59022339.3784775,54640530.8371908,5
2020-10-18,58278090.046468,17317615.3939884,59705286.0094884,57609392.1700552,5
2020-10-19,55356358.3888866,16713755.0317203,60231820.1217322,60608450.0776608,5
2020-10-20,52541570.2498257,16126467.6417596,60612209.3866478,63630136.3417669,5
2020-10-21,49824649.4998836,15560829.1045246,60857487.4954155,66667417.5201764,5
2020-10-22,47197929.9956055,15019688.483262,60978944.9059666,69713820.2351659,5
2020-10-23,44655307.1383225,14503949.8026879,60987693.8715627,72763432.8074269,5
2020-10-24,42192276.0380823,14012903.2137448,60894317.1618457,75810887.2063273,5
2020-10-25,39805875.532391,13544578.9138038,60708603.5688244,78851325.6049807,5
2020-10-26,37494557.826095,13096101.7037717,60439368.2414551,81880355.8486782,5
2020-10-27,35258002.9540138,12664028.7237755,60094351.9969862,84893999.9452245,5
2020-10-28,33096896.0191244,12244657.3298975,59680190.9536894,87888639.3172888,5
2020-10-29,31012683.6250415,11834293.9239571,59202445.9907714,90860960.08023,5
2020-10-30,29007323.7904048,11429478.1409176,58665680.6384364,93807901.0502412,5
2020-09-17,174819488.997997,3764257.9222024,7783639.60267119,6542997.09712953,4
2020-09-18,172745094.290052,4934835.86814924,8286604.64341309,6943848.81838605,4
2020-09-19,170553437.992178,5992922.56998852,8989049.56240607,7374973.49542734,4
2020-09-20,168206616.073104,6993644.29942242,9864492.2895207,7845630.95795316,4
2020-09-21,165676013.426564,7973454.5188356,10896880.9798437,8364034.69475713,4
2020-09-22,162940233.114985,8955491.0410416,12076882.6315604,8937776.83241287,4
2020-09-23,159983978.171041,9953063.95155045,13399247.2029111,9574094.29449734,4
2020-09-24,156797554.497203,10971935.4225938,14860871.6794858,10280022.0207169,4
2020-09-25,153376765.571125,12011823.3821348,16459332.5254575,11062462.1412827,4
2020-09-26,149723025.301084,13067428.0186517,18191742.2696345,11928188.0306298,4
2020-09-27,145843543.185939,14129205.9104736,20053836.2371737,12883798.2864132,4
2020-09-28,141751461.049249,15184038.1572471,22039256.3769364,13935628.0365672,4
2020-09-29,137465826.154362,16215930.7557718,24138996.2552921,15089630.4545739,4
2020-09-30,133011325.331615,17206795.4728519,26341028.8363586,16351233.9791742,4
2020-10-01,128417716.671721,18137361.5088558,28630119.5451549,17725185.8942681,4
2020-10-02,123718929.078003,18988211.8456386,30987851.0905446,19215391.6058138,4
2020-10-03,118951869.387315,19740895.9848997,33392857.7369509,20824760.510834,4
2020-10-04,114154970.002049,20379062.7215573,35821281.7991231,22555069.097271,4
