"time","S","E","I","R","Epoch"
2020-10-06,105315771.757089,21287494.7500553,40656808.8781758,26378948.1326298,3
2020-10-07,100640806.944597,21524475.1566375,43003012.1223658,28470729.2943494,3
2020-10-08,96072337.6778727,21620506.5469185,45268277.1227224,30677902.1704364,3
2020-10-09,91634122.7418245,21580596.5335345,47428496.7508898,32995807.4917012,3
2020-10-10,87344072.1217351,21414103.5465819,49462204.0340998,35418643.8155331,3
2020-10-11,83214141.2733844,21134010.4032183,51351255.0769525,37939616.7643948,3
2020-10-12,79250600.6223389,20755998.2925216,53081306.2821942,40551118.3208954,3
2020-10-13,75454618.323353,20297411.1142408,54642069.900188,43244924.1801682,3
2020-10-14,71823065.9463276,19776213.5143787,56027345.9139452,46012398.1432985,3
2020-10-15,68349452.4603909,19210030.3675729,57234847.6613572,48844693.028629,3
2020-10-16,65024897.9998174,18615330.6849544,58265856.550736,51732938.2824421,3
2020-10-17,61839072.393862,18006797.2447465,59124746.9465937,54668406.9327478,3
2020-10-18,58781042.9720504,17396896.9558545,59818427.0641681,57642656.525877,3
2020-10-19,55839995.5854756,16795646.3488701,60355740.6757607,60647640.9078435,3
2020-10-20,53005810.340609,16210552.58205,60746868.6189036,63675791.9763874,3
